Geo Point;Geo Shape;Eindeutiger Identifikator des Unfalls;Beschreibung zum Unfalltyp;Beschreibung der Unfallschwerekategorie;Unfalljahr;Unfallmonat;Wochentag;Unfallstunde;Strassenart;Fussgängerbeteiligung;Fahrradbeteiligung;Motorradbeteiligung
47.56278216697013, 7.616315666501068;"{""coordinates"": [7.616315666501068, 47.56278216697013], ""type"": ""Point""}";1101;Parkierunfall;1 Unfall mit Sachschaden;2012;3;3 Mittwoch;;Nebenstrasse;false;false;false
47.563559200094744, 7.601568847988943;"{""coordinates"": [7.601568847988943, 47.563559200094744], ""type"": ""Point""}";1102;Parkierunfall;1 Unfall mit Sachschaden;2012;3;4 Donnerstag;;andere;false;false;false
47.548624015298785, 7.570412127282803;"{""coordinates"": [7.570412127282803, 47.548624015298785], ""type"": ""Point""}";1105;Parkierunfall;1 Unfall mit Sachschaden;2012;3;5 Freitag;;Nebenstrasse;false;false;false
47.57292067309878, 7.595723207233268;"{""coordinates"": [7.595723207233268, 47.57292067309878], ""type"": ""Point""}";1109;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2012;3;6 Samstag;15;Nebenstrasse;false;false;false
47.56141319804078, 7.578070511085673;"{""coordinates"": [7.578070511085673, 47.56141319804078], ""type"": ""Point""}";1114;Parkierunfall;1 Unfall mit Sachschaden;2012;3;1 Montag;;Nebenstrasse;false;false;false
47.539345803743, 7.603141900336984;"{""coordinates"": [7.603141900336984, 47.539345803743], ""type"": ""Point""}";1116;Parkierunfall;2 Unfall mit Leichtverletzten;2012;3;3 Mittwoch;9;Nebenstrasse;false;false;false
47.56569014095591, 7.573882577626661;"{""coordinates"": [7.573882577626661, 47.56569014095591], ""type"": ""Point""}";1117;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2012;3;4 Donnerstag;8;Nebenstrasse;false;false;false
47.56225588343862, 7.607344899797917;"{""coordinates"": [7.607344899797917, 47.56225588343862], ""type"": ""Point""}";1119;Parkierunfall;1 Unfall mit Sachschaden;2012;3;5 Freitag;;Nebenstrasse;false;false;false
47.554377225152095, 7.572857544341779;"{""coordinates"": [7.572857544341779, 47.554377225152095], ""type"": ""Point""}";1124;Parkierunfall;1 Unfall mit Sachschaden;2012;3;6 Samstag;;Nebenstrasse;false;false;false
47.58503734164749, 7.655910335477179;"{""coordinates"": [7.655910335477179, 47.58503734164749], ""type"": ""Point""}";1125;Parkierunfall;1 Unfall mit Sachschaden;2012;3;7 Sonntag;;Nebenstrasse;false;false;false
47.57494637560359, 7.600739725709574;"{""coordinates"": [7.600739725709574, 47.57494637560359], ""type"": ""Point""}";1126;Überqueren der Fahrbahn;1 Unfall mit Sachschaden;2012;3;1 Montag;16;Hauptstrasse;false;false;false
47.54104202896442, 7.61777073785969;"{""coordinates"": [7.61777073785969, 47.54104202896442], ""type"": ""Point""}";1131;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2012;3;2 Dienstag;12;Nebenstrasse;false;false;false
47.548995218567306, 7.597313342781171;"{""coordinates"": [7.597313342781171, 47.548995218567306], ""type"": ""Point""}";1132;Abbiegeunfall;1 Unfall mit Sachschaden;2012;3;2 Dienstag;12;Nebenstrasse;false;false;false
